id;name;email;cpf
1;mobile Fish;Lavinia44@hotmail.com;15599
2;Practical Fresh Pants;Bryon.Quigley@yahoo.com;5641
3;transmitter Implementation Electronics;Christelle61@hotmail.com;52475
4;web-readiness;Judge.Moore@gmail.com;4666
5;Coordinator;Jackson_Borer19@gmail.com;38246
6;Planner Canyon;Lenny45@hotmail.com;6505
7;Factors;Kelton.Schowalter@hotmail.com;1596
8;Public-key;Idella60@gmail.com;49517
9;Games Regional Digitized;Nicolas_Hagenes@yahoo.com;20794
10;Georgia Industrial;Opal.Kirlin89@hotmail.com;92665
