id;holder_name;number;expiration_date;cvv
1;New York tangible Mississippi;Frozen bus;2019-10-08;72172
2;Robust Networked;Poland;2019-10-08;11089
3;partnerships;Outdoors;2019-10-08;47537
4;Montana;Corporate Phased relationships;2019-10-08;20306
5;Brand;neutral Salad;2019-10-08;62435
6;modular Refined Squares;maroon;2019-10-08;88328
7;projection Fresh;support Gorgeous;2019-10-08;64769
8;Jewelery cutting-edge;Games;2019-10-08;53408
9;Bedfordshire Bahamian Dollar;24/7;2019-10-08;16829
10;sky blue;Kenyan Shilling robust;2019-10-08;25391
